fermi level
followed by in situ
an initial concentration of
the change in
with intimate interfacial
at 25
obviously higher
this account
conductivity of
few layer g
constructed with
a maximum value
as well as increased
z scheme heterojunction between
the heterostructured g c3n4
the same experimental
the possible degradation mechanism
of 0 v
extent of
electrode materials with
the modification of
requirement of
the recombination rate of
section of
the preparation method
the insoluble
mainly attributed
via calcination
the mechanism study
beta 4
the optical property
important roles in
of photoexcited
synthesis of 2d
techniques such as
g c3n4 15
a potential material for
to degrade organic
the photocatalytic h 2 generation
a portion of
conducted on
reductase from
visible light driven h 2 production
tm g
h 2 evolution over g
as judged
performed for
ldh @ g c3n4
hydrogen production over
evaluated as
excited g c3n4
by powder x ray diffraction
the accuracy
of moo3 x
segregation of
the electronic and
to synthesize highly
characterization of carbon
but still
composition and structure of
with enhanced photocatalysis
μm with
path for
catalyst for enhanced
the excitonic
formed through
the crucial role of
the decolorization
water under visible light irradiation
to cause
a p n
different functional
major active species in
the liquid phase
covered with
2020 published by elsevier ltd
adopted to
high photocatalytic activity of
system composed of
of 0.04
distance from
mobility of
of 1.9
a new approach for
hydrothermal treatment of
for sustainable energy
modification of carbon
nanotube g c3n4
highly desirable for
the photocatalytic h2o2 production
as well as good
a better understanding of
the ultrathin g c3n4
times as
a carbon source
a tight
the photocatalytic disinfection
way to
the removal of organic pollutants
prepared composites
nanoparticles anchored on
the ultrahigh
channel for
explored for
catalyst under visible light
optical absorption in
site at
gap of
new strategy to design
both alpha
the enhancement mechanism
composite photocatalyst g c3n4
the peroxidase like
carbon nitride films on
these results show
the generation of hydrogen
under neutral
a band gap of
driven photocatalytic performance of
the superior photocatalytic activity
strategy to realize
examined for
the complementary
conserved in
pathways for
point of
the preparation conditions
and ammonium chloride
a power density of
a rather
effects of various
exploited for
3 times higher than
the self assembly of
the pathogenesis of
bandgap energy of
homologous with
as synthesized photocatalysts
pec performance of
1.0 m
rate of mb
the heterojunction interfaces
h 2 production activity of
three times higher than
g c3n4 modified by
the energy levels
pyrolysis process of
the rgo g c3n4
the main reasons for
strategy to develop
energy barrier of
delocalization of
as prepared g c3n4
mesoporous graphitic carbon nitride with
from 400
unique structure of
reported to
to follow
by pyrolysis
acid treatment of
given to
a sensitive and selective
heterojunction formed between
of in plane
proposed on
evolution activity of
new method
varied with
a low detection
between pd
considerable attention due to
phase extraction of
effects of ph
cytotoxicity of
utilized in
not only demonstrates
shows improved
the staggered
initial ph of
deposited using
by vacuum
the photocatalytic properties
by various analytical
photocatalytic enhancement
the 2d g c3n4 nanosheets
capacity for
increasing interest in
system consisting of
similarity with
nanoprobe for
the photocatalytic reduction of co2
composite of g c3n4
ecl signal of
treatment of g c3n4
the g c3n4 mno2
the photogenerated electron
novel dual
dispersed into
made by
on nickel
as good
with intimate contact
assisted fabrication of
of co 2
the flat
excess of
heavy chain of
enhancement of g c3n4
surface plasmon resonance effect of
with enhanced visible
vital for
as sacrificial
attempts to
polymeric carbon nitride for
a significant increase in
hybrid photocatalyst with
between tio2 and
effective removal
active semiconductor
advantageous for
the success
n bonding
different types
plasmonic photocatalyst for
the formation of new
two possible
investigated as
photocatalytic activity of zno
and amino acid analysis
high photocatalytic activity in
interest for
superior photocatalytic h
harmful to
combine with
with boosted photocatalytic
mesoporous carbon nitride with
with improved photocatalytic performance
visible light activity for
the specific capacitance
obtained by using
the framework of
light catalytic
via solvothermal
even better
photocatalytic hydrogen evolution by
under visible light graphitic carbon nitride
new perspectives
different concentration
assist in
design of efficient
the high adsorption
prepared under
after several
desirable for
of g c3n4 photocatalyst
low overpotential of
and photocatalytic properties of g c3n4
the degradation efficiency of
enhanced photodegradation of
co pyrolysis of
properties of graphene
the efficiency of photo
light catalysis
modification with
nanocomposites with different
characterized by transmission
a cathode
allow for
the high efficiency of
a liquid
identity with
this synergistic
the thickness of
photocatalytic water splitting for
visible light photocatalytic h
the unique electronic structure
after 2000
expected for
the average size of
substituted by
system under visible light irradiation
visible light photocatalysts for
a single atom
based photocatalysts for
superior performance in
comparable with
for advancing
by assembling
a porous g c3n4
the absorption intensity
occurred in
#NAME?
2d g
the bandgap of
#NAME?
than conventional
fitted with
seeds of
enhancement of catalytic
formation of carbon nitride
and vsm
binding site in
photoanodes for
improved performance of
for decomposing
by studying
the excess
novel insights into
by electrostatic interaction
a hybrid composite
probes for
the recombination of charge carriers
feasible method for
blocked n
stable during
nitrogen content in
a significant effect
a facile and effective
help to
the cqd
a factor
transport through
highly active g c3n4
studied in
photocatalytic performance compared with
benefit for
carbon nitride titanium
this critical
those of pure g c3n4 and
distributed in
high level of
of g c
novel insights
of g c3n4 modified
of nitrobenzene
an insight into
for solar to fuel
a highly effective
the maximum value
the presence of nitrogen
a steady
generation efficiency of
for five cycles
of cytochrome c
by photodeposition
the unique 2d
surface via
area of
three dimensional g c3n4
the shuttle effect
the possible degradation pathways
method combined with
free synthesis
widely studied in
an argon
the textural
to work
the transfer of electrons
o n
visible light photocatalysis for
concept for
distortion of
mol l 1 h
applicability of
pristine g
a g c3n4 photocatalyst
a rational design
the detection limits of
the synergic effect
cb8 and
avenues for
efficiency toward
heterojunction photocatalyst for
an acid
photocatalytic property of
the absorption of visible light
energy gap of
of polymeric g c3n4
the field of energy
percent of
sensors for
further evaluated
the suitable band
the viewpoint of
the field of environmental
chain reaction
active photocatalyst for
and characterization of
photocatalytic h 2 evolution activity of
of aspirin
labelling of
the first report on
use as
the results of photoluminescence
by various
uniformly on
the photo generated electron
both high
go g
100 degradation
the surface properties
for efficient h 2
towards rhodamine
importance in
photoreactivity of
production efficiency
the peptide bond
that of g
by converting
the increase in
cop co
ability for
in facilitating
the deposits
especially under
photocatalytic hydrogen evolution with
g c3n4 nanocomposite exhibited
a reusable
of microrna
expansion of
transfer between
uptake of
a potential application
limitation of
nanostructures for
reduction activity of
novel ternary g c3n4
the transfer of photogenerated
active nitrogen
for 3 h
the ternary heterostructure
cu doped g
the lifetime of charge carriers
charge separation between
of visible radiation
with assistance of
new possibilities for
after six
to take
formation of heterostructure
and optical properties of g c3n4
size of
the homo
the as deposited
the global energy
a large amount of
a low cost and
the photocatalytic degradation activity
as confirmed by
the enhanced light harvesting
contained in
of mesoporous g c3n4
sheets via
@ zif
3 times higher
g c3n4 p n heterojunction
fermi level of
the graphene like
for efficient charge separation
towards co2
the close contact
capacity of g c3n4
the hydroxylation of benzene
g c3n4 content of
further discussed
c3n4 composite photocatalyst with
the electrophoretic
the strong interaction between
of graphene like carbon
selected for
abundance of
materials such as
need for
insertion of
observed under
electrocatalytic activity of
and thermal properties
polycondensation of
a discharge
not only acted as
a highly stable
the conformation of
xps spectra of
to possess
on g c3n4 for
aunps @
by grinding
studied for
for co2 activation
the sequential
susceptibility of
of trace
a metal free photocatalyst for
the loss of
linear relationship with
the beta subunit of
of photogenerated electron hole
the improvement of photocatalytic performance
and g c3n4 as
reaction mechanism for
after 120
at 37
surface charges of
the formation of g c3n4
structure and properties of
improved photoactivity of
the high separation efficiency of
g c3n4 nife
calculated as
carbon nitride nanotubes with
the integration of
visible light photocatalytic performance of
confined by
photocatalytic efficiency of g c3n4
for biosensing
efficient h 2 evolution
for highly selective
adsorption ability of
enhancements in
high dispersion of
for use as
doped graphitic carbon nitride for
high amount of
significantly better
connected with
of mos2 and g c3n4
for sulfamethoxazole
ranges of
measured at
template for
of as prepared
activity for photocatalytic
like material
work indicates
linked with
the classical
adopted as
the hpw
the high activity
synergy of
combining with
proximity of
alternative for
activation system
presence of pt
work as
reduction under visible light
via microwave
dispersibility in
under acidic
enough for
space for
cycles at 1
at around
the theoretical calculation
interfacial charge transfer of
higher visible
usage of
detected on
degradation of bisphenol a
position of g c3n4
the others
process of g c3n4
the photoactivity of
the recombination of electrons and holes
of about 5
endowed with
the removal efficiency
the region of
electronegativity of
an inner
a high photocatalytic
a cathodic
the photocatalyst surface
hydrogen production activity of
a linear relationship between
development of highly
a novel two dimensional
catalysts for hydrogen
of 3.3
deposited at
by automated
the construction of g c3n4
nitride nanosheets
for application in
found with
the photocatalytic h 2 evolution performance
materials show
a glassy
under high temperature
the outstanding performance
outside of
2 wt g c3n4
the magnetism
masses of
participation of
the promotion
new metal
construction of efficient
high photocatalytic activity under
band offset of
g c3n4 with tunable
extraction of
calculations indicated
by use of
organic dyes under
main reactive species in
applied in photocatalytic
developing novel
perspective on
different water
between carbon and nitrogen
the chemical composition
main active species for
the composite with
with excellent stability
tubes with
the g c3n4 with
the separation of photo induced
a remarkable improvement
advantageous to
the efficiency of photocatalytic
#NAME?
photocatalyst composed of
by liquid chromatography
evaluated by photodegradation of
the loading of
amount of nitrogen
via electrostatic
commercial pt c catalyst in
different catalytic
the relationship between
using ammonium
the textural properties
the treatment of
efficiencies of
on g c3n4 with
into ultrathin
work not only
for improved photocatalytic performance
for at least
90 min under
recombination of g c3n4
a wet chemical
microspheres with
co production rate of
the modified g c3n4
as revealed by
designed as
in patients with
solar photocatalytic
much attention because of
work shows
activation energy of
composite system
washing with
design of g c3n4
performance of zno
with efficient visible light
for constructing high
release from
efficiency of about
promising route for
point to
potential in
highly efficient metal
altered by
separation of electrons
the poor conductivity
effect of oxygen
processing of
anchored with
a ca2 +
and surface reactions
by heating melamine
nanosheet g c3n4
for ultrasensitive detection of
and mechanism study
catalyst system
treatment of bulk g
functionality of
order of
melamine as
the photocatalytic hydrogen evolution activity
density of 10
photocatalytic activities than
based composites with
cn x
also discussed in detail
in situ growth of g c3n4
enhanced h 2 production
low detection
as photoanode
prospect in
like porous g c3n4
as prepared materials
work demonstrated
transfer properties
screening of
penetration of
photocatalytic generation
an example of
complexation of
evaluated under visible light
co doping of
the fast recombination
the location of
essential to
charge carrier separation for
a specific surface area
found on
either by
no at
mechanism of visible light
a decrease in
the heavy chain of
encapsulated in
interface between g c3n4
resolved by
reaction under visible
effective approach for
electron transfer at
between cds and g c3n4
vicinity of
a good linear
show great
a wavelength
risk of
breaking of
a photocathode
free catalyst for
this perspective
the combined effects
as starting
the enhancement of photocatalytic performance
photooxidation of
n atoms in
the friction
i collagen
the serious
in photocatalytic reactions
into porous
g c3n4 nanosheets into
the morphology and structure of
a high current density of
nanocomposites based on
the photocatalytic h2o2
also offer
rhodamine b over
carbonization of
for enhanced visible
of histone
the carboxy
for designing other
ratios of g c3n4
different concentrations of
confined to
cu2o @ g
and g c3n4 for
embedded on
as compared with pure
the efficient separation of
3 h under
the photocatalytic degradation of methyl orange
an ion
electrons from g c3n4
the 2d structure of
the separation efficiency of photogenerated carriers
stability after
of glutathione
two polypeptide
a new platform for
also showed excellent
higher than pure g c3n4
the photocatalytic system
visible light photocatalysis of
in situ on
a molar
to allow
binary g c3n4
energy transfer from
novel z scheme g c3n4
the photocatalytic degradation efficiency of
scope of
the hard template
effect between g c3n4 and
visible light response of
characteristics of g c3n4
the way for
photoactivity for
hybrid photocatalyst for
a mutant
g c3n4 with outstanding
1 g l
the design of photocatalysts
as evidenced
grafting of
by dc
trend of
of sulfur doped g c3n4
with significantly enhanced photocatalytic
measured for
the design and fabrication of
the superoxide anion
the separation of electrons and holes
such as low cost
light hydrogen
of photoexcited charge
oil in
the p g c3n4
into hydrogen
the optimal g c3n4
the n c
a simple calcination
as well as high
crucial to
the deposition of
efficiency and stable
within only
immunoassay for
played by
structure between
visible light irradiation for
arranged in
absence of
at ambient
reactive species in
for enhanced photoelectrochemical
improvement of photocatalytic
highest photocatalytic activity in
g c3n4 nanosheets for photocatalytic
g c3n4 with different
constant of
comparative study of
for addressing
semiconductors with
for efficient and stable
a hydrogen evolution rate
photo oxidation of
the presence of different
the molar ratio of
of carbon and nitrogen
a microwave
with abundant nitrogen
movement of
after 180
a discharge capacity
the natural photosynthesis
transfer efficiency of
the photocatalytic results
the photocatalytic degradation rate
strategy toward
towards environmental
analyzed for
interest as
through hydrothermal
discussed in
drawbacks of
achieved under visible light
the destruction of
mainly based on
absorption edge of
and chemical properties
for real
for efficient visible
2d porous
a variety of characterization
for hydrogen evolution from water splitting
the g c
a novel graphitic carbon nitride
and eventually
10 times higher than
the interlayers of
application in energy
magnetically separable g
reduction of nitrogen
z scheme mechanism of
for hydrogen production under visible
the pseudo first
the highly conserved
the degradation of methylene
nh2 terminus of
of uranium
occurring in
the value of
for efficient photocatalytic degradation of
with intimate
the local electronic
than other
opportunity for
than commercial
polymers with
60 degrees
enhanced performance for
a high rate of
a non metal
activities than
the study of
the quick
biosensors for
by investigating
for rechargeable
the enhanced pec
included in
discussion of
for co oxidation
fabricated with
high catalytic activity of
characterized by powder
the same as
water splitting for h
interests in
mos2 g
activity and stability in
for five times
established for
the photo degradation of
cleavage of c
first time
not affect
the successful synthesis
decolorization of
by direct thermal
mg catalyst
technologies for
the decolorization of
induction of
discovery of
500 cycles at
to couple
photo degradation of
recombination of
g c3n4 z scheme photocatalyst
@ graphene
different structures
presented herein
as part of
conversion into
hydrogen under visible light
a single polypeptide chain of
morphology of g c3n4
photocatalytic efficiency for
photocatalytic hydrogen evolution on
a signal on
to 1 nm
the lifetime of photo
the difficulty
to play
the heterojunction between g c3n4
as efficient catalysts for
degradation over
abilities of
the porous g c3n4 nanosheets
at atmospheric pressure and
the superior photocatalytic performance of
the adsorption behavior
increases with
the fe3o4 @
h 2 production from
a fragment of
characterization of g c3n4
of p doped g c3n4
g c3n4 heterojunction photocatalysts for
given by
stability over
for co2 capture
anticipated to
the formation of 2d
g c3n4 composites with enhanced
in water under visible light
with enhanced performance
applicability for
and g c
g c3n4 heterostructure for
the degradation of rhodamine
thin films prepared by
high photodegradation
width of
of alpha c3n4
signal to noise ratio of
example for
@ fe
changed by
activity than g c3n4
to move
aligned with
the photoabsorption
good agreement with
the g c3n4 alpha
higher photocatalytic activity in
the linear response
photocatalytic reaction system
the synergic effect between
for tailoring
necessary to
precursors such as
the separation and
the molecular mass
of crystalline c3n4
1.5 g
sio2 g
the hierarchical porous
fragmentation of
series of g c3n4
other than
the hydrogen evolution activity
performed in
an obviously
a combination
bare c3n4
synthesis of alpha
more catalytic
photocatalyst useful for
and c =
and degradation of pollutants
the surface charge
an earth
the compact
twice as
formed from
the epitope for
but not in
conformation of
enhanced activity in
the spatial charge separation
the radical trapping
linearly with
by depositing
the separation efficiency of photo generated
the rate determining
attention for
a disulfide
commercialization of
photogeneration of
the water redox
these composite
facile strategy to
the existence of two
g c3n4 nanocomposites with enhanced
the elimination of
via thermal polymerization of
both uv and visible
the mass ratio
mutation in
capacities of
the differences in
and reduction of cr
provides insight into
adsorption ability for
to recycle
interface of g c3n4
graphite carbon nitride for
high photocatalytic performance of
g c3n4 with high
permeance of
a graphitic c3n4
metal free photocatalyst with
the need for
mechanism for photocatalytic
in situ deposition of
a member of
significance of
very important for
the peak current
show strong
from 0.01 to
in comparison with g c3n4
the folding
porous nitrogen
mixture of melamine and
an essential role in
than pure g c3n4 and
a slightly
evaluated by degradation of
barrier for
the molar ratio
the yields of
crystals with
this significant
the contribution of
performance of carbon nitride
nanomaterials with
carbon nitride materials with
of g c3n4 bi2moo6
the photo degradation
localized in
g c3n4 nanocomposites for
the photocatalytic oxidation
heterojunction composites with
investigated in detail by
of c and n
defined as
confined in
the insertion of
the large scale
logarithm of
efficiency towards
a first
evolution under visible light
the effect of g c3n4
to couple with
adopted for
the reaction of
the extent of
potential candidate for
a high visible light
a natural
the coreactant
sno2 g
by different characterization
added as
activity for degradation
investigated under visible light
high absorption
the experiment results
merits of
the location
rate over
a molecular mass of
in good agreement
the practical application of
the conduction
thus improved
placing in
feasibility of
superior photocatalytic activity of
separation and transportation of
agglomeration of
2d wo3
the high efficient
to type ii
routes for
development of g c3n4
for photocatalytic water
electronic band structure of
for photocatalytic degradation of methylene blue
reuse of
the form of
the optimal content
c3n4 doped with
an impregnation
the photocatalytic performance for
review on
h 2 generation under visible light
the catalyst exhibits
the photodegradation efficiency
g c3n4 heterostructures with
as fast
via chemical
transfer between g c3n4 and
availability of
the global
the same reaction
the protonated
decreased with
light harvesting ability of
the establishment of
by interfacial polymerization
such as photocatalysis
enough to
course of
the h +
the ecl signal of
of nitrogen into
proposed by
the nh2 terminus of
photocatalytic production
the pattern of
aqueous solution under
a third
the nucleotide sequence of
the shortcomings
contrast with
as prepared photocatalyst
quantification of
a flow
to broaden
a class of
effects between g c3n4
characterisation of
the catalytic performance of
for photocatalytic h 2
a diamond
for enhanced degradation of
for converting
the synthesis of mesoporous
dopants on
only exhibits
the mass transfer
g c3n4 composite under visible light
g c3n4 nanosheets for enhanced
simple method for
heterostructured photocatalysts with
toward rhodamine b
the creation of
novel route
catalytic system for
z scheme photocatalyst with
concentration range of
but not with
the identification of
further improvement of
removed in
the camp
the dehydrogenation
adjusted to
decomposition of g c3n4
the expression of
range of 2
artificial photosynthesis of
range from 1
toxicity of
and electronic properties of
like catalytic activity
also shows good
the advantages of high
different techniques such as
by electrostatic
formation mechanism of
to combine with
photocatalytic behavior of
dimensional graphitic carbon nitride
towards visible light
the altered
efficacy of
novel heterogeneous
atom catalysts for
the photocatalytic activity of tio2
at mild
reaction time of
the ecl emission
the excited electrons
applications of g
aggregation of g c3n4
with strong interfacial
both oxygen reduction
heterojunction catalyst with
by laser
new opportunity for
still not
for bioimaging
of nitrogen containing
the nitrogen source
with distinct
the immobilization of
best catalytic
production of co
cleaved with cnbr and
the structure property
the carbon nitrogen
equivalent to n
efficiency because of
using g c3n4 and
first time via
the ultrasensitive detection of
the photocatalytic degradation efficiency
a green and
new synthetic
g c3n4 tio2 @
the specific surface
combination of g c3n4 and
absorbance in
the mixture of
the therapeutic
the additive
the commercialization of
the presence of hydrogen
after cleavage
amounts of g c3n4
a plasmonic
potential application of
the tendency
the activation of
pure c3n4
the amount
of ag c3n4
heterojunction via
band structure of g c3n4
the localization of
by embedding
as determined by
efficient synthesis
for hydrogen production from water
catalytic properties of
excellent photocatalytic performance of
the experimental results indicate
the improvement in
for colorimetric detection
the phase structure
the influence of different
h 2 evolution activity of
excellent performance of
active photocatalysts for
to achieve enhanced
high efficiency for
various water
in 0.1 m
generation from
the superior photocatalytic performance
100 mu
hydrochloride under visible light irradiation
the migration of
deactivation of
substitutions in
stabilized in
g c3n4 synthesized from
the composition and
the hardness of
a high h
the transfer of photogenerated electrons
the pyrolysis process
the nature of
change from
the effects of different
transfer of
a hot topic in
the present study provides
to help
the high catalytic activity
a high nitrogen
recombination rate of
@ g c3n4 photocatalyst
photocatalytic degradation activity of
individual g c3n4
by cyclic
for biomedical
the detection limits
of g c3n4 materials
of great interest
g c3n4 composite photocatalyst with
g c3n4 heterojunction for
synergism of
g c3n4 with superior
the photodegradation of organic pollutants
individual g c3n4 and
the characterization of
g c3n4 prepared at
the catalytic ability
high energy density of
good dispersion of
g c3n4 with enhanced
a value of
the formation of type ii
of two dimensional g c3n4
separation and transfer efficiency of
layered structure of
cnbr fragment of
the band edges
catalyst for hydrogen
laser ablation of
also used to
of high performance catalysts
a synergetic effect
optical properties of g c3n4
in water under visible light irradiation
a full
the overall photocatalytic
an energy density of
the yield of
the ability of
g c3n4 nanosheets with high
an efficient electron
surface of cn
in environmental protection
perspective for
efficiently photocatalytic
also greatly
onto porous
an electron transfer
the recombination probability
the precursor of
trapping experiments indicated
into designing
with excellent performance
the rate determining step of
also effectively
the optimal mass
charge transfer mechanism of
candidates as
photoelectrochemical activity for
for simultaneous determination of
to narrow
the photocatalytic reduction of
both acidic and
prepared by solvothermal
with suitable band
the first time by
influences of
the recent advances
for 1 h
hydrogen evolution from
solubility of
recombination probability of
the high charge
a summary
with high surface
the detailed characterization
the photogenerated electron hole
a dynamic
a reaction rate
the hydrolytic dehydrogenation of
separation and high
by various techniques
a tool
first and then
parameter of
synthesized at
the isolation of
effective route to
sequences of two
20 mu
electric field at
proposed through
the matching of
g c3n4 modified with
needed to
materials with different
properties of two dimensional
nanoparticles for efficient
the abundance of
in relation to
photocatalysts under visible
for detection of
ultrathin g c3n4 nanosheets with
showed much
with outstanding photocatalytic
the photocatalytic experiments
detection of glucose in
introduced for
one step pyrolysis of
of g c3n4 tio2 nanocomposites
the thermal condensation
the 32p
the degree of
also introduces
the extension
the dependence of
varying from
with known
of human alpha
two electron reduction of
the magnetic properties of
the p g
the separation and transport
the first time in
design of highly
by detecting
a heterojunction structure
dye under
spectra of g c3n4
binding of
photocatalytic materials for
the high activity of
like g c3n4 with
the characteristics of
carbon nitride photocatalyst for
secondary structure of
a high catalytic
for diverse
for 12 h
an electric
photocatalysts toward
by g c3n4 under visible light
of avian
the optimization of
combined effects of
and g c3n4 under visible light
also contributed to
the uniform dispersion
consisting of two
the g c3n4 nanosheets with
designed and fabricated for
the activity enhancement
the photocatalytic removal of
with efficient charge separation
the frontier
a patient
the exploration of
these metal
by microwave
c3n4 based photocatalysts in
decorated 2d
the electronic structures
ru g
role during
material composed of
a high energy
photocatalyst via
the high surface area
photocatalysis owing to
electrochemical properties of
in 1 h
the chemical industry
photocatalytic activity under
the illumination of visible light
for solar fuel
this present work
charge transfer between g c3n4 and
of h2o2 under
remarkable improvement of
10 mu
enhanced performance in
2d carbon
a comparison of
photocatalytic h
c3n4 exhibited much
ratio of 2
the greenhouse
the aggregation of g c3n4
of benzyl alcohol to
g c3n4 tio2 with
mechanism between
the cause of
new insight for
a novel and efficient
of amines to imines
needed for
the high photocatalytic performance of
purity of
for 2 h
for efficient hydrogen
via in situ growth of
couple with
with aromatic
photocatalytic degradation rate of
the overall water
enhanced removal
the crystal growth
degradation of environmental
for supercapacitor
determined for
with different g c3n4
a support for
the superior photocatalytic
the bulk c3n4
a promising platform
the interaction between g c3n4
value in
of photo generated electrons and holes
an atomic
directions for
catalysts for energy
catalysts towards
the effect of catalyst
the combination of g c3n4
a mixture of melamine
composite under visible light
onto graphitic
the total organic
band structure of g
the g c3n4 tio2 composite
the photoelectric conversion
enhanced separation of
the formation of active
free catalysts for
introduction of g c3n4
the charge separation and
to prepare g c3n4 nanosheets
active radicals in
together by
aa in
porous g c3n4 for
doped g c3n4 for
the intrinsic properties
a plausible mechanism for
in soil
sensitivity toward
and consequent
absorption near
the interaction between g c3n4 and
precursor for
fluorescence quenching of
the occurrence of
the vertical
reactive species during
of water to produce hydrogen
the formation mechanism
in situ method
the uniform distribution of
h 2 o
good cycling
photoelectrochemical performance of
the surface of g c3n4 with
accessibility of
activities for
g c3n4 for enhanced
the current work
a turnover number of
the molecular mass of
the possible photocatalytic degradation
the photoreduction of co2
the crystal growth of
the crude
composite for enhanced
g c3n4 prepared from
while for
and rutile
terminus of
filler for
such as water
the recombination probability of
for practical use
in living
electrode based on
the separation of electrons
recyclability for
a synthetic
also successfully
the protective
a multi
for enhanced solar
to participate in
the cycloaddition
new perspective
the recent developments
from g c3n4 and
of g c3n4 towards
photocatalytic hydrogen evolution under
a high selectivity
produced on
the inhibition of
the structure and properties of
the findings of
the high photocatalytic performance
doping of g
a molecular mass
the active site of
by up to
an electrocatalyst for
the remainder of
the need of
view of
via solid
the experimental results indicated
porous g c3n4 nanosheets for
of metronidazole
a wide linear range of
of graphene g c3n4
feasible method to
2d heterojunction photocatalysts
the hybrid material
of bulk carbon nitride
and application of
a specific capacitance
the photocatalytic degradation mechanism
efficiency of charge
alpha subunit of
2 pt g c3n4
as synthesized g c3n4
the separation and migration of photogenerated
terminal sequence of
the logarithm
g c3n4 based photocatalysts with
for organic synthesis
a red shift of
synthesized by means of
mu m for
a great influence on
holey g
the experimental results show
a specific capacity
the synergistic effect between g c3n4
by automated edman degradation of
photocatalytic activity through
the redox potential
interfacial transfer of
tio2 @ g
and o co
activator for
model system
that of bulk g
the regulation of
indicated by
morphology and composition of
g c3n4 heterostructures for
a sequence of
for h 2 evolution and
effect of nitrogen
as well as to
photocatalyst of g c3n4
the sequences of
in different water
the dispersion of
in situ generation
by various characterization techniques
the mechanism for
of graphene like carbon nitride
photocatalytic system with
prepared by calcination of
and stable photocatalytic
both experimental
the recombination of photogenerated electron
the adsorption behavior of
and electronic property
for photocatalytic reactions
the next
better electrochemical
also showed good
different mass ratios of
stability for
the morphology and
the enhancement of visible light
realized in
and prolonged lifetime of
the synergy effect
the electrical conductivity
the nitrogen content in
through facile
of g c3n4 under visible light
and electron spin
the charge density
demonstrated using
presented in
catalyst with high
the extended visible light
carbon nitride decorated with
photocatalytic efficiency than
the correlation between
like system
type x
mole of
of co n
h 2 evolution performance of
the 3d g
materials for photocatalytic
cycloaddition of
the difficulties
by thermal condensation of melamine
with 14c
the linearity
the separation efficiency of electron
the thermal decomposition
h 2 production under visible light
by using x ray diffraction
engineered by
reforming of
the onset
h 2 evolution from
better charge
compared with g c3n4 and
a mixture containing
photocatalytic ozonation of
a specific capacitance of
the top of
work provides new
efficiency of rhb
the high cost
tremendous attention in
synergistic effect of g c3n4
new kind of
an improvement of
order kinetics with
key to
the dissociation of
without sacrificial
a photocatalyst for
the electrochemical performance of
the antioxidant
the area of
the hybrid composite
doped carbon nitride for
and also provides
good visible light
electrolysis of
the corrosion
n content of
little effect
in most
the degradation rates
with high performance for
good photocatalytic
enhanced photocatalytic performance under
with 2 wt
to display
g c3n4 for photocatalytic
fe doped g
a strong interaction between
of benzyl
modified g c3n4 with
applications because of
the high specific surface
the removal efficiency of
a noble metal
also serve as
rate under visible light
the results obtained from
the photoinduced holes
to produce more
of water to produce
reaction mechanism of
composites for efficient
free detection of
formation of heterojunction between
the magnetic properties
charge generation and
the impacts of
and morphology of
constants for
influence of different
of tubular g c3n4
the synergy of
for photocatalytic degradation of organic pollutants
nitrogen into
the in situ growth of
build in
the heterojunction of
by several techniques
further enhanced by
activity and stability of
the maximum adsorption capacity of
the initial concentration
design of photocatalysts
under room
aim to
dyes such as
the density of
line with
of levofloxacin
recognition between
methodology for
an aqueous solution of
different contents of
porous structure of
by immobilizing
the severe
of bare cn
for clean energy
times higher compared to
an avenue to
excellent selectivity for
adsorption energy of
the 2d structure
the potential applications of
g c3n4 coupled with
level structure
better visible
6 h of
the accumulation of
the function of
more than one
of 3,3
the 3d porous
by thermal polycondensation
the heterojunction formed
a lamellar
lifetimes of
composite photocatalyst for
applicability in
better optical
formed between g c3n4
the photoelectrochemical measurements
the enhanced catalytic activity
from dicyandiamide
more active sites for
all in
a possible mechanism of
formed with
the quantification of
a hydrothermal treatment
a feasible strategy for
further characterized by
the formation of heterojunction between
pure g c3n4 under visible light
visible light irradiation than
in 60 min under
the molecular weight of
a low overpotential of
in situ pyrolysis of
helpful to
the intimate contact between
the absorption spectrum
rate of photocatalytic
the photoreduction of
by traditional
precision of
narrowing of
the tubular structure
the first time via
maximum at
by lc
as prepared material
and photoelectrical
the hydrogenation of
much attention due to
catalyst for photocatalytic
this enhanced photocatalytic
of bisphenol
film with
the adsorption capacity of
as photocatalysts for
the zeta
a concentration of
generated e
liquid exfoliation of
mass ratio of g c3n4
the shuttle
the interfacial interaction
modified g c3n4 for
a simple self
and potentially
a linear response in
a host
the suppression of
of g c3n4 nanosheets by
a diameter of
the requirements
but also for
the interface contact
mass spectrometry for
photocatalyst for organic
of g c3n4 nanosheets for
the relationship
present method
the decrease of
for solar to
and utilization of
and morphology of g c3n4
novel route to
and high charge separation
relationship with
and strong redox
g c3n4 nanocomposite for
a long time
the reaction system
a substitute for
feasible strategy for
and then to
spacing of
the recent progress in
the attachment of
by simple hydrothermal
more than two
p n heterojunction with
the reduction of aqueous
the solar to hydrogen
the absorption band
photoelectrochemical properties of
for removal of
and stability for
bulk g c3n4 and g c3n4
the amino terminus of
a facile method for
nm irradiation
significantly enhanced by
the nucleotide
the surface plasmon
of g c3n4 monolayer
the photocatalytic dye
with enhanced photocatalytic degradation
detected with
separation of g c3n4
the confinement
stability toward
as proven
photocatalyst for improved
from water using
thermal stability of
by pyrolysis of melamine
the facile synthesis of
open new
two residues
strategy based on
remarkable enhancement of
the visible light response of
c3n4 for photocatalytic
